Year,Mean cumulative mass balance
1956,0
1957,-0.12
1958,-0.976
1959,-1.414
1960,-1.968
1961,-2.362
1962,-2.569
1963,-2.885
1964,-2.545
1965,-2.373
1966,-2.578
1967,-2.662
1968,-2.776
1969,-3.277
1970,-3.519
1971,-3.758
1972,-4.016
1973,-4.147
1974,-4.339
1975,-4.534
1976,-4.752
1977,-5.14
1978,-5.372
1979,-5.785
1980,-5.919
1981,-6.11
1982,-6.568
1983,-6.438
1984,-6.726
1985,-7.009
1986,-7.586
1987,-7.475
1988,-7.559
1989,-7.892
1990,-8.399
1991,-8.832
1992,-8.935
1993,-9.242
1994,-9.917
1995,-10.384
1996,-10.819
1997,-11.611
1998,-12.134
1999,-12.861
2000,-13.088
2001,-13.317
2002,-13.755
2003,-14.326
2004,-15.018
2005,-15.758
2006,-16.591
2007,-17.202
2008,-17.619
2009,-18.169
2010,-19.011
2011,-19.92
2012,-20.657
2013,-21.502
2014,-22.285
2015,-23.402
2016,-24.383
2017,-25.152
2018,-26.043
2019,-27.174